N,Processes,Time_sec,GFLOPS,Speedup
200,1,0.0116924,1.36841,1
200,2,0.00593263,2.69695,1.97
200,4,0.00839583,1.90571,1.39
200,8,0.00807923,1.98039,1.44
400,1,0.10722,1.19381,1
400,2,0.0547996,2.33578,1.95
400,4,0.0599097,2.13655,1.78
400,8,0.0436008,2.93572,2.45
800,1,2.54558,0.402266,1
800,2,2.19319,0.4669,1.16
800,4,1.00712,1.01676,2.52
800,8,1.24024,0.825647,2.05
1200,1,19.3862,0.178271,1
1200,2,11.1421,0.310175,1.73
1200,4,7.91369,0.436711,2.44
1200,8,8.03484,0.430127,2.41
1600,1,46.326,0.176834,1
1600,2,24.1711,0.338917,1.91
1600,4,17.4493,0.469474,2.65
1600,8,24.8959,0.32905,1.86
2000,1,100.105,0.159833,1
2000,2,52.7054,0.303574,1.89
2000,4,35.9874,0.4446,2.78
2000,8,37.9266,0.421868,2.63
